english,igala_primary,igala_variations,contributor,region,verified
water,ọmi,"omi,ómì",Ann,Ankpa,yes
fire,una,"una,uná",Ann,Ankpa,yes
good morning,wola odudu,,Ann,Ankpa,yes
good afternoon,ọlọ́rọka,,Ann,Ankpa,yes
good evening,ọlá'nẹ,,Ann,Ankpa,yes
good night,wola ane,,Ann,Ankpa,yes
welcome,ọlalẹ,,Ann,Ankpa,yes
thank you,wolu'kọlọ,,Ann,Ankpa,yes
please,awa,,Ann,Ankpa,yes
sorry,nago,,Ann,Ankpa,yes
yes,i-i,,Ann,Ankpa,yes
no,ọda-aa,,Ann,Ankpa,yes
goodbye,chẹ́gbatugba,,Ann,Ankpa,yes
mother,iye,,Ann,Ankpa,yes
father,ata,,Ann,Ankpa,yes
child,ọma,"ọmá",Ann,Ankpa,yes
brother,ọmaye ọnẹkẹle,,Ann,Ankpa,yes
sister,ọmaye ọnọbule,,Ann,Ankpa,yes
friend,onuku,,Ann,Ankpa,yes
man,ọnẹkẹle,,Ann,Ankpa,yes
woman,ọnọbule,,Ann,Ankpa,yes
king,ọnu,,Ann,Ankpa,yes
person,onẹ,,Ann,Ankpa,yes
eat,jẹ,,Ann,Ankpa,yes
drink,mo,,Ann,Ankpa,yes
sleep,ólu,,Ann,Ankpa,yes
wake up,j'ólu,,Ann,Ankpa,yes
go,lo,,Ann,Ankpa,yes
come,wa,,Ann,Ankpa,yes
run,rule,,Ann,Ankpa,yes
sit,gwane,,Ann,Ankpa,yes
stand,dago,,Ann,Ankpa,yes
want,tenẹ,,Ann,Ankpa,yes
love,fẹdo,,Ann,Ankpa,yes
see,li,,Ann,Ankpa,yes
give,du,,Ann,Ankpa,yes
take,gbà,,Ann,Ankpa,yes
buy,la,,Ann,Ankpa,yes
sell,ta,,Ann,Ankpa,yes
work,ukọlọ,,Ann,Ankpa,yes
pray,aduwa,,Ann,Ankpa,yes
cook,yẹnwu,,Ann,Ankpa,yes
wash,gwe,,Ann,Ankpa,yes
food,ujẹnwu,,Ann,Ankpa,yes
house,unyi,,Ann,Ankpa,yes
road,ọna,,Ann,Ankpa,yes
money,ọ́kọ́,,Ann,Ankpa,yes
book,otakada,,Ann,Ankpa,yes
clothes,ukpo,,Ann,Ankpa,yes
land,ane,,Ann,Ankpa,yes
god,ọjọ,,Ann,Ankpa,yes
one,ényẹ́,,Ann,Ankpa,yes
two,èjì,,Ann,Ankpa,yes
three,ẹ̀ta,,Ann,Ankpa,yes
four,ẹ̀lẹ̀,,Ann,Ankpa,yes
five,ẹ̀lú,,Ann,Ankpa,yes
today,eñini,,Ann,Ankpa,yes
tomorrow,ọna,,Ann,Ankpa,yes
yesterday,ọnalẹ,,Ann,Ankpa,yes
morning,òdùdu,,Ann,Ankpa,yes
night,anẹ,,Ann,Ankpa,yes
canoe,ọkó èjomi,,Ann,Ankpa,yes
husband,òkọ,,Ann,Ankpa,yes
millipede,ọkọ,,Ann,Ankpa,yes
i,u,,Samuel,Original,yes
you,uwe,,Samuel,Original,yes
to,na,,Samuel,Original,yes
who,ene,,Samuel,Original,yes
how,abu,,Samuel,Original,yes
my,mi,,Samuel,Original,yes
dog,abia,,Samuel,Original,yes
market,aja,,Samuel,Original,yes
sun,ólù,"olu,ọlu",Manasseh,Dekina,yes
moon,óchù,"ochu",Manasseh,Dekina,yes
rain,ómì ki' aló,"omi-ojale,omi elọ,omi kia lọ",Manasseh,Dekina,yes
school,unyí ùkọchẹ́,"unyi-ukochẹ,uny'ukọchẹ",Manasseh,Dekina,yes
learn,ukọchẹ,"ukóchę,kọchẹ",Manasseh,Dekina,yes
speak,kọla,"ukọla",Manasseh,Dekina,yes
walk,ùlẹ,"lulẹ,ulę ele",Manasseh,Dekina,yes
laugh,ányí,"nyanyi,anyi enyi",Manasseh,Dekina,yes
cry,ákwú,"akwu,ukwa",Manasseh,Dekina,yes
hot,ẹkpùná,"ẹkpuna,ukpuna",Manasseh,Dekina,yes
cold,ẹridọdọ́,"afu/ẹridọdọ,uridọdọ",Manasseh,Dekina,yes
big,lìlẹ́,"unana,enana,nana",Manasseh,Dekina,yes
small,kẹ̀kẹ̀lẹ̀,"kekele,enya",Manasseh,Dekina,yes
old,ìgbẹ̀lẹ̀,"igbele,ogbo/ogijo",Manasseh,Dekina,yes
new,ẹtìtó,"etitọ",Manasseh,Dekina,yes
beautiful,álẹfíá,"unyọ,alefia,igbẹlẹ/utọ/unyọ",Manasseh,Dekina,yes
strong,ùkpàhiù,"ẹgbiti,ukpahiu,ugbiti",Manasseh,Dekina,yes
head,ojí,"oji,ọji",Manasseh,Dekina,yes
eye,ejù,"eju,èju",Manasseh,Dekina,yes
ear,etì,"eti,èti",Manasseh,Dekina,yes
nose,ínmo,"iñmọ,inmọ",Manasseh,Dekina,yes
mouth,álu,"alu",Manasseh,Dekina,yes
tongue,ùkpalù,"ukpalu,upkalu",Manasseh,Dekina,yes
tooth,enyì,"enyi",Manasseh,Dekina,yes
neck,olọ,"ọfa",Manasseh,Dekina,yes
shoulder,ojíká,"ojika",Manasseh,Dekina,yes
hand,owo,"ọwọ",Manasseh,Dekina,yes
finger,om'owo,"anyiga,anyíga",Manasseh,Dekina,yes
chest,edó,"agbẹdọ,edọ",Manasseh,Dekina,yes
stomach,efù,"efu",Manasseh,Dekina,yes
back,ubí,"ubi",Manasseh,Dekina,yes
leg,èrè,"ẹrẹ",Manasseh,Dekina,yes
knee,okwukwu,,Manasseh,Dekina,yes
foot,om'ere,"adab'ẹrẹ,apata ẹrẹ",Manasseh,Dekina,yes
sky,ojalẹ,"akpa",Manasseh,Dekina,yes
star,íláwo,"ilawo,awo",Manasseh,Dekina,yes
cloud,ákpá,"akpa",Manasseh,Dekina,yes
wind,afù,"afu",Manasseh,Dekina,yes
river,ájí,"aji",Manasseh,Dekina,yes
tree,olí,"oli",Manasseh,Dekina,yes
leaf,eñmi,"emè",Manasseh,Dekina,yes
flower,ododó,"ododo",Manasseh,Dekina,yes
stone,okutá,"okwuta,okputa",Manasseh,Dekina,yes
mountain,ùwó,"uwo",Manasseh,Dekina,yes
farm,okó,"oko",Manasseh,Dekina,yes
red,ekpìkpa,"ekpikpa,eikpa",Manasseh,Dekina,yes
white,efùfù,"efufu",Manasseh,Dekina,yes
black,edùdù,"edudu",Manasseh,Dekina,yes
blue,igẹluwẹ,"odo",Manasseh,Dekina,yes
green,omí eñmi,"odufa",Manasseh,Dekina,yes
yellow,odo,,Manasseh,Dekina,yes
cow,okwùno,"okunọ,okùno",Manasseh,Dekina,yes
goat,ewọ,"ewo",Manasseh,Dekina,yes
chicken,ajùwe,"ejuwẹ,ajuwe",Manasseh,Dekina,yes
fish,èjá,"ẹja",Manasseh,Dekina,yes
snake,èjo,"ejo",Manasseh,Dekina,yes
bird,èwè,"ẹwẹ,ẹwẹ̀",Manasseh,Dekina,yes
elephant,adagbà,"adagba",Manasseh,Dekina,yes
lion,idú,"idu",Manasseh,Dekina,yes
happy,edó èbo,"edẹbọ,ẹdèbo",Manasseh,Dekina,yes
sad,edó èkpábíè,"edẹkpabiẹ,ẹdopkabiẹ̀",Manasseh,Dekina,yes
angry,uwèdo,"edẹfuulu,èwẹdọ",Manasseh,Dekina,yes
afraid,ókpó,"okpo,opko",Manasseh,Dekina,yes
tired,olá ekpa,"uhia,ugbogwu,ufowọla",Manasseh,Dekina,yes
hungry,èbí,"ebi",Manasseh,Dekina,yes
thirsty,olugbẹ,"alugbẹ",Manasseh,Dekina,yes
chair,úgwugwú,"ugwugwu",Manasseh,Dekina,yes
table,itẹbulù,"itebulu",Manasseh,Dekina,yes
door,ọná,"ọna",Manasseh,Dekina,yes
window,ilabulẹ,"opè",Manasseh,Dekina,yes
bed,àtẹ,"atẹ",Manasseh,Dekina,yes
pot,ùcha,"ucha",Manasseh,Dekina,yes
cup,ùkpa,"upka",Manasseh,Dekina,yes
plate,òchibu,"ugba,ùgbà",Manasseh,Dekina,yes
spoon,ukodẹ,"ukọdẹ,ukọ",Manasseh,Dekina,yes
knife,obé,"ọbẹ",Manasseh,Dekina,yes
rice,óchikapà,"ochikapa",Manasseh,Dekina,yes
yam,ùchù,"uchu",Manasseh,Dekina,yes
beans,egwà,"ẹgwa",Manasseh,Dekina,yes
palm oil,ẹkpó-oje,"èpko-ọjẹ",Manasseh,Dekina,yes
meat,ẹla,,Manasseh,Dekina,yes
soup,óbo,,Manasseh,Dekina,yes
salt,omú,"omu",Manasseh,Dekina,yes
pepper,àkpọ̀,"akpọ",Manasseh,Dekina,yes
fruit,ẹrò,"ẹroli",Manasseh,Dekina,yes
milk,òmi-enya,"imiliki",Manasseh,Dekina,yes
egg,ẹge,"ẹgẹ",Manasseh,Dekina,yes
bread,àkala,"iburẹdi",Manasseh,Dekina,yes
corn,ákpá,"akpa",Manasseh,Dekina,yes
groundnut,òpa,"ọpa",Manasseh,Dekina,yes
